ID,Short,Type,Category,Subcategory,Priority,Indicator,Description,Assessment details,Assessment,Comment
CA-RDA-F1-01A,F1-01A,Archive,Findable,F1,Essential,Archive is identified by a persistent identifier,This indicator evaluates whether or not the archive is identified by a persistent identifier. A persistent identifier ensures that the archive will remain findable over time andreduces the risk of broken links.,"The persistence of an identifier is determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsedFAIRsharing",0.0,no archive available
CA-RDA-F1-01M,F1-01M,Model,Findable,F1,Essential,Model is identified by a persistent identifier,This indicator evaluates whether or not the model is identified by a persistent identifier. A persistent identifier ensures that the model will remain findable over time andreduces the risk of broken links.,"The persistence of an identifier is determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsedFAIRsharing",1.0,
CA-RDA-F1-01MA,F1-01MA,Archive metadata,Findable,F1,Essential,Metadata of archive is identified by a persistent identifier,This indicator evaluates whether or not the metadata of archive is identified by a persistent identifier. A persistent identifier ensures that the metadata of archive will remain findable over time and reduces the risk of broken links.,"The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing.",0.0,no archive available
CA-RDA-F1-01MM,F1-01MM,Model metadata,Findable,F1,Essential,Metadata of model is identified by a persistent identifier,This indicator evaluates whether or not the metadata of model is identified by a persistent identifier. A persistent identifier ensures that the metadata of model will remain findable over time and reduces the risk of broken links.,"The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing.",0.5,some metadata is available on the BioModels webpage + within the annotations in the SBML model file
CA-RDA-F1-02A,F1-02A,Archive,Findable,F1,Essential,Archive is identified by a globally unique identifier,"The indicator serves toevaluate whether the identifier of the archive is globally unique, i.e. that there are no two people that would use that same identifier for two different digital objects.",Global uniqueness of identifiers should beevaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to different resources or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identifier used for the data is listed in a registry service like the RDA-endorsed FAIRsharing,0.0,
CA-RDA-F1-02M,F1-02M,Model,Findable,F1,Essential,Model is identified by a globally unique identifier,"The indicator serves toevaluate whether the identifier of the model is globally unique, i.e. that there are no two people that would use that same identifier for two different digital objects.",Global uniqueness of identifiers should beevaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to different resources or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identifier used for the data is listed in a registry service like the RDA-endorsed FAIRsharing,1.0,"we have the MODEL id in the webpage, but it is not in the metadata nor the SBML file"
CA-RDA-F1-02MA,F1-02MA,Archive metadata,Findable,F1,Useful,Metadata of archive is identified by a globally unique identifier,"The indicator serves to evaluate whether the identifier of the metadata of archive is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing.",0.0,
CA-RDA-F1-02MM,F1-02MM,Model metadata,Findable,F1,Important,Metadata of model is identified by a globally unique identifier,"The indicator serves to evaluate whether the identifier of the metadata of model is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing.",0.0,"some metadata is available on the BioModels webpage + within the annotations in the SBML model file, but not in a separate file"
CA-RDA-F2-01MA,F2-01MA,Archive metadata,Findable,F2,Essential,Rich metadata of archive is provided to allow discovery,"The indicator is about the presence of the archive metadata, but also about how much archive metadata is provided and how well the provided archive metadata supports discovery.",This indicator can be evaluated by verifying that metadata is provided. The amount of metadata to be provided may also be part of the metadata policy of the repository where the data is published,0.0,
CA-RDA-F2-01MM,F2-01MM,Model metadata,Findable,F2,Essential,Rich metadata of model is provided to allow discovery,"The indicator is about the presence of the model metadata, but also about how much model metadata is provided and how well the provided model metadata supports discovery.",This indicator can be evaluated by verifying that metadata is provided. The amount of metadata to be provided may also be part of the metadata policy of the repository where the data is published,0.5,the SBML model is annotated quite richly; it would be better to separate the metadata of the model by the model itself
CA-RDA-F3-01MA,F3-01MA,Archive metadata,Findable,F3,Essential,Metadata of archive includes the identifier for the archive,The indicator deals with the inclusion of the reference (i.e. the identifier) of the digital object (archive) in the archive metadata so that the digital object (archive) can be accessed,"This indicator can be evaluated by verifying that the identifier of the data is included in the metadata elementthat is specified f or that purpose in the metadata standardused, for example in an ""about"" or ""describes"" predicate, or a Link Relation16such as ""describes""/""describedBy"".",0.0,
CA-RDA-F3-01MM,F3-01MM,Model metadata,Findable,F3,Essential,Metadata of model includes the identifier for the model,The indicator deals with the inclusion of the reference (i.e. the identifier) of the digital object (model) in the archive metadata so that the digital object (model) can be accessed,"This indicator can be evaluated by verifying that the identifier of the data is included in the metadata elementthat is specified f or that purpose in the metadata standardused, for example in an ""about"" or ""describes"" predicate, or a Link Relation16such as ""describes""/""describedBy"".",0.0,"not sufficient even considering the landing page; only the short model id is given, but better to have the full url to the original file; also, metadata should be provided in a separate file, outside of the SBML model file"
CA-RDA-F4-01MA,F4-01MA,Archive metadata,Findable,F4,Essential,Metadata of archive is offered in such a way that it can be harvested and indexed,"The indicator tests whether the archive metadata is offered in such a way that it can be indexed. In some cases, the archive metadata could be provided together with the archive to a local institutional repository or to a domain-specific or regional portal, or the archive metadata could be included in a landing page where it can be harvested by a search engine. The indicator remains broad enough on purpose not to limit the way how and by whom the harvesting and indexing of the archive might be done.","Thisindicator can be evaluated by verifying that the metadata is made available f or indexing. This is the case when the metadata is in f act harvested and indexed, for example in a general search engine or in a more restricted index, such as an institutional repository or a discipline-specific portal.",0.0,
CA-RDA-F4-01MM,F4-01MM,Model metadata,Findable,F4,Essential,Metadata of model is offered in such a way that it can be harvested and indexed,"The indicator tests whether the model metadata is offered in such a way that it can be indexed. In some cases, the model metadata could be provided together with the model to a local institutional repository or to a domain-specific or regional portal, or the model metadata could be included in a landing page where it can be harvested by a search engine. The indicator remains broad enough on purpose not to limit the way how and by whom the harvesting and indexing of the model might be done.","Thisindicator can be evaluated by verifying that the metadata is made available f or indexing. This is the case when the metadata is in f act harvested and indexed, for example in a general search engine or in a more restricted index, such as an institutional repository or a discipline-specific portal.",0.5,"metadata is in a structured form, but it requires many steps to have it harvested and indexed; we would expect more structured information on the model including also details on the publication, DOI etc."
CA-RDA-A1-01MA,A1-01MA,Archive metadata,Accessible,A1,Important,Metadata of archive contains information to enable the user to get access to the archive,"The indicator refers to the information that is necessary to allow the requester to gain access to the archive. It is about (i) restrictions to access the archive (i.e. access to the archive may be open, restricted or closed), (ii) the actions to be taken by a person who is interested to access the archive, in particular when the archive has not been published on the Web or (iii) specifications that the resources are available through specified authentication/authorisationsystem including single sign-on providers such as eduGAIN17or through specialised solutions such as proposed for EPOS18.","The indicator can be evaluated by looking at the information that is provided in the metadata about (i) access conditionsaccording to the metadata standard used, (ii) inf ormation that describes the actions to be taken. This can be included in the metadata or in some other place, for example on a landing page of the digital object or (iii) the requirements to be satisfied in order to gain access to the data. This may be machine-understandable information in which case the evaluation could be automatedby processing the inf ormation. If it is human-readable information, the evaluator can follow the instructions and verify that this allows access to the data",0.0,
CA-RDA-A1-01MM,A1-01MM,Model metadata,Accessible,A1,Important,Metadata of model contains information to enable the user to get access to the model,"The indicator refers to the information that is necessary to allow the requester to gain access to the model. It is about (i) restrictions to access the model (i.e. access to the archive may be open, restricted or closed), (ii) the actions to be taken by a person who is interested to access the model, in particular when the model has not been published on the Web or (iii) specifications that the resources are available through specified authentication/authorisationsystem including single sign-on providers such as eduGAIN17or through specialised solutions such as proposed for EPOS18.","The indicator can be evaluated by looking at the information that is provided in the metadata about (i) access conditionsaccording to the metadata standard used, (ii) inf ormation that describes the actions to be taken. This can be included in the metadata or in some other place, for example on a landing page of the digital object or (iii) the requirements to be satisfied in order to gain access to the data. This may be machine-understandable information in which case the evaluation could be automatedby processing the inf ormation. If it is human-readable information, the evaluator can follow the instructions and verify that this allows access to the data",0.5,"we found licence info. in the github page + we know that BioModels has an overall licence. However, it would be better to have the details on getting access in the metadata of the model (separate file, or at a specific location etc)."
CA-RDA-A1-02A,A1-02A,Archive,Accessible,A1,Essential,Archive can be accessed manually (i.e. with human intervention),"The indicator refers to any human interactions that are needed if the requester wants to access the archive. The FAIR principle refers mostly to automated interactions where a machine is able to access the archive, but there may also be archives that require human interactions, such as clicking on a link on a landing page, sending an e-mail to the data owner, or even calling by telephone",The indicator can be evaluated by looking for inf ormation in the metadata that describes how access to the digital object can be obtained through human intervention.,0.0,
CA-RDA-A1-02M,A1-02M,Model,Accessible,A1,Essential,Model can be accessed manually (i.e. with human intervention),"The indicator refers to any human interactions that are needed if the requester wants to access the model. The FAIR principle refers mostly to automated interactions where a machine is able to access the model, but there may also be models that require human interactions, such as clicking on a link on a landing page, sending an e-mail to the data owner, or even calling by telephone",The indicator can be evaluated by looking for inf ormation in the metadata that describes how access to the digital object can be obtained through human intervention.,1.0,
CA-RDA-A1-02MA,A1-02MA,Archive metadata,Accessible,A1,Essential,Metadata of archive can be accessed manually (i.e. with human intervention),"The indicator refers to any human interactions that are needed if the requester wants to access the archive metadata. The FAIR principle refers mostly to automated interactions where a machine is able to access the metadata, but there may also be metadata that require human interactions. This may be important in cases where the archive metadata itself contains sensitive inf ormation. Human interaction might involve sending an e-mail to the metadata owner, or calling by telephone to receive instructions.","The indicator can be evaluated by looking f or inf ormation about the way that metadata can be accessed with human intervention, either in documentation, f or example in a landing page, or in metadata about the metadata in cases where there is multi-layered metadata, f or example using CatalogRecord in DCAT.",0.0,
CA-RDA-A1-02MM,A1-02MM,Model metadata,Accessible,A1,Essential,Metadata of model can be accessed manually (i.e. with human intervention),"The indicator refers to any human interactions that are needed if the requester wants to access the model metadata. The FAIR principle refers mostly to automated interactions where a machine is able to access the metadata, but there may also be metadata that require human interactions. This may be important in cases where the model metadata itself contains sensitive inf ormation. Human interaction might involve sending an e-mail to the metadata owner, or calling by telephone to receive instructions.","The indicator can be evaluated by looking f or inf ormation about the way that metadata can be accessed with human intervention, either in documentation, f or example in a landing page, or in metadata about the metadata in cases where there is multi-layered metadata, f or example using CatalogRecord in DCAT.",1.0,"metadata is avilable in several locations, but we can gather details (landing page, annotations in the SBML model file, github etc.)"
CA-RDA-A1-03A,A1-03A,Archive,Accessible,A1,Essential,Archive identifier resolves to a digital object,This indicator is about the resolution of the identifier that identifies the digital object. The identifier assigned to the archive should be associated with a formally defined retrieval/resolution mechanism that enables access to the digital object or provides access instructions for access in the case of human-mediated access. The FAIR principle and this indicator do not say anything about the mutability or immutability of the digital object that is identified by the archive identifier - this is an aspect that should be governed by a persistence policy of the data provider.,The indicator can be evaluated by invoking the mechanism specific to the protocol (e.g. GET f or HTTP) and verifying that this delivers the digital object.,0.0,
CA-RDA-A1-03M,A1-03M,Model,Accessible,A1,Essential,Model identifier resolves to a digital object,This indicator is about the resolution of the identifier that identifies the digital object. The identifier assigned to the model should be associated with a formally defined retrieval/resolution mechanism that enables access to the digital object or provides access instructions for access in the case of human-mediated access. The FAIR principle and this indicator do not say anything about the mutability or immutability of the digital object that is identified by the model identifier - this is an aspect that should be governed by a persistence policy of the data provider.,The indicator can be evaluated by invoking the mechanism specific to the protocol (e.g. GET f or HTTP) and verifying that this delivers the digital object.,0.5,"the digital object is a webpage, but the programmatic access will get the latest version of the model; inside the SBML file there is no info to specify which is the exact version of the model. Also to check with Sheriff"
CA-RDA-A1-03MA,A1-03MA,Archive metadata,Accessible,A1,Essential,Metadata of archive identifier resolves to a metadata of archive record,This indicator is about the resolution of the identifier of the archive metadata. The identifier assigned to the archive metadata should be associated with a resolution service that enables access to the archive metadata record.,The indicator can be evaluated by checking that the metadata can be accessed using its identifier. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct metadata record.,0.0,
CA-RDA-A1-03MM,A1-03MM,Model metadata,Accessible,A1,Essential,Metadata of model identifier resolves to a metadata of model record,This indicator is about the resolution of the identifier of the model metadata. The identifier assigned to the model metadata should be associated with a resolution service that enables access to the model metadata record.,The indicator can be evaluated by checking that the metadata can be accessed using its identifier. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct metadata record.,0.0,we wish to rephrase this indicator; we don't have a separate record for the metadata of the model
CA-RDA-A1-04A,A1-04A,,Accessible,A1,Essential,Archive is accessible through standardised protocol,The indicator concerns the protocol through which the archive is accessed and requires the protocol to be defined in a standard,"This indicator can be evaluated by looking at the way the data can be accessed. Common data access protocols are HTTP and FTP, DAP22and JSON-RPC23.",0.0,
CA-RDA-A1-04M,A1-04M,,Accessible,A1,Essential,Model is accessible through standardised protocol,The indicator concerns the protocol through which the model is accessed and requires the protocol to be defined in a standard,"This indicator can be evaluated by looking at the way the data can be accessed. Common data access protocols are HTTP and FTP, DAP22and JSON-RPC23.",1.0,http
CA-RDA-A1-04MA,A1-04MA,Archive metadata,Accessible,A1,Essential,Metadata of archive is accessed through standardised protocol,The indicator concerns the protocol through which the archive metadata is accessed and requires the protocol to be defined in a standard.,"This indicator can be evaluated by looking at the way the metadata can be accessed. Common metadata access protocolsare HTTP and FTP, Atom19, OAI-PMH20and Web Services Metadata Exchange21.",0.0,
CA-RDA-A1-04MM,A1-04MM,Model metadata,Accessible,A1,Essential,Metadata of model is accessed through standardised protocol,The indicator concerns the protocol through which the model metadata is accessed and requires the protocol to be defined in a standard.,"This indicator can be evaluated by looking at the way the metadata can be accessed. Common metadata access protocolsare HTTP and FTP, Atom19, OAI-PMH20and Web Services Metadata Exchange21.",1.0,http
CA-RDA-A1-05A,A1-05A,Archive,Accessible,A1,Important,Archive can be accessed automatically (i.e. by a computer program),The indicator refers to automated interactions between machines to access archives. The way machines interact and grant access to the archive will be evaluated by the indicator.,"This indicator can be evaluated by resolving the linkto the data, e.g. by resolving the persistent identifier and verifying that the data is reached. In the common case that the identifier is an HTTP URI, this can be done using the HTTP GET method. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct data.",0.0,
CA-RDA-A1-05M,A1-05M,Model,Accessible,A1,Important,Model can be accessed automatically (i.e. by a computer program),The indicator refers to automated interactions between machines to access models. The way machines interact and grant access to the model will be evaluated by the indicator.,"This indicator can be evaluated by resolving the linkto the data, e.g. by resolving the persistent identifier and verifying that the data is reached. In the common case that the identifier is an HTTP URI, this can be done using the HTTP GET method. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct data.",1.0,BioModels API
CA-RDA-A1.1-01A,A1.1-01A,Archive,Accessible,A1.1,Important,Archive is accessible through a free access protocol,The indicator requires that the protocol can be used free of charge which facilitates unfettered access.,"This indicator can be evaluated by verifying that the protocol is free of charge. This is the case f or most protocols in use, for example HTTP and FTP.",0.0,
CA-RDA-A1.1-01M,A1.1-01M,Model,Accessible,A1.1,Important,Model is accessible through a free access protocol,The indicator requires that the protocol can be used free of charge which facilitates unfettered access.,"This indicator can be evaluated by verifying that the protocol is free of charge. This is the case f or most protocols in use, for example HTTP and FTP.",1.0,ftp
CA-RDA-A1.1-01MA,A1.1-01MA,Archive metadata,Accessible,A1.1,Essential,Metadata of archive is accessible through a free access protocol,The indicator tests that the protocol that enables the requester to access the archive metadata can be freely used. Such free use of the protocol enhances archive reusability.,The indicator can be evaluated on the basis of inf ormation provided about whether the use of the protocol is free of charge. Common examples are HTTP and FTP.,0.0,
CA-RDA-A1.1-01MM,A1.1-01MM,Model metadata,Accessible,A1.1,Essential,Metadata of model is accessible through a free access protocol,The indicator tests that the protocol that enables the requester to access the model metadata can be freely used. Such free use of the protocol enhances model reusability.,The indicator can be evaluated on the basis of inf ormation provided about whether the use of the protocol is free of charge. Common examples are HTTP and FTP.,0.5,we refer to the landing page (no separate file of metadata) and SBML file extraction
CA-RDA-A1.2-01A,A1.2-01A,Archive,Accessible,A1.2,Useful,Archive is accessible through an access protocol that supports authentication and authorisation,The indicator requires that if the archive or local environment indicates a degree of additional protection then the access protocol must support authentication and authorisation of people and/or machines,The indicator can be evaluated by assessing whether an authentication and authorisation process is present in the protocol (e.g. HMAC),0.0,
